customer_tweet_id,brand_tweet_id,customer_text,brand_response
3180,3182,@sprintcare Don’t worry about it.... I’m just going to see what other companies offer,"@116446 We understand, but in order for us to further assist you, you need to inform us on your issue. We would hate to see you go-DD"
3185,3184,@sprintcare complete ineptness!,@115712 Please DM your contact number and Team @116447 will reach out asap to get this resolved.
3188,3187,@116447 - And the issue is still not fixed! No one can help! All the info I get is wrong! I have been a customer for 12 yrs! https://t.co/MQIImu0yiR,@115712 I understand how frustrating this is and I'm here to assist. I do apologize that I'm not showing the contact number or private message.
4309,4307,Ugh @115714 stop being such a tease https://t.co/OA5gkGMduc,"@116716 Good day, please disregard the text message that you are receiving concerning your device being ready to pick. -KK"
4311,4310,@115714 Sprint always going the distance for you coast to coast and beyond,@116718 Great! Have you registered at https://t.co/drNtYldHij?
5523,5522,@sprintcare @115714 thinking about upgrading my wife’s iPhone 6. What is your best offer?,@117001 Hey! We would need to see what offers are available to you. Send us a DM so we can further assist you. -CD
6899,6898,"@sprintcare @83216...the last agent in telesales, Ching or Chin, basically told me he has not ID #, and NO MANAGER OR SUPERVISOR TO ESCALATE MY ISSUE TO!",@117178 This sounds concerning. Please DM us more details to review this situation more closely and verify where the issue is coming from. - JF
6903,6900,anyone and everyone....if you decide to do business with @115714 .....save your money and time. The customer service is insulting and a joke,"@117178 Are you currently experiencing some type of issues with your service or bill? Please let us know what is going on, to give you a hand. - JF"
4313,7741,@115714 Sprint always going the distance for you.just like the Jeep.from coast to coast and beyond,@116718 Thank you!
7743,7742,@115714 @sprintcare &amp; she hung up the phone on me. I want my money back. Or else the whole world gonna know,@117302 Hi there! Can you tell us the reason for the credit? Can you also join us in a DM so we can assist you? -KW
7745,7744,@sprintcare is there an outage in the Minneapolis/St. Paul Minnesota area?,"@117303 Thank you for reaching out to us. Please send us a Direct Message, so that we can further assist you. -C.H"
7747,7746,@115714 had THEE worst service on the planet fam.,@117304 Please let us know if you're currently having service issue with us? We at Sprint would like to know so we can further assist. -JN
7749,7748,@115714 FIX IT BECAUSE MY WIFI DOING BETTER THAN YALL..... HOW ???!!!! PLEASE TELL ME HOW 😊,@117305 Oh…that’s so not cool…let me check it out for you! Shoot us a DM so that we can further assist you. -AH
7753,7751,@115714 sells phones that are unusable in other companies. They can unlock them but they don't,"@117306 Can you please send us a DM, so that be can able to further look into this issue pertaining your device being unlocked? -TC"
8035,8037,"@comcastcares It happens every night, like in between 2 4 am. Wow. I appreciate the response. Damn #Sprint y'all have no type of live for your customers..",@117395 Thanks for reaching out. What can I help with today? -SM
8039,8041,@sprintcare My internet SUCKS!!!! And their is ALWAYS something wrong with my bill. Lol. It's crazy. I could've went to #MetroPCS for this😕,"@117395 Hey King, Thank you for the feedback. We would like to solve this now. Please send us a DM. It will be our honor to assist you. Ange L"
8360,8359,@115714 went to get the new iPhone 10 today and your sales rep wouldn’t even take the time to look up from his phone to help. #veryrude,"@117471 Good day Jessica, we don't want you to continue having problems. Please send us a Direct Message, so that we can further assist you. -KK"
8837,8836,@sprintcare 5 lines for $100? Better rate then @115911 but I'm a fan of @115913. What more do you have @115714. Got a cool CEO?,@117587 Looks great right.. And our CEO is cool too.
8839,8838,@115911 @115725 @115714 All I'm saying is that I prebooked first day because I was promised a date which I liked. I got 7 lines on my act. @115725 keep your 🤞,@117587 Hello there! Check out our promotions. Click on the link https://t.co/OLXF2ShjmN
8843,8841,@626 @115714 I still have zero service and power has mostly been restored. This is unacceptable in a day and age when most people only carry cell service,@117588 @626 @115714 Could tell us which iPhone you have? -L.O
8842,8844,"@sprintcare @626 @115714 Lol for the eighteen thoudandth time, this is not my phone because there are 2 iPhones and 2 androids, and it effects them all. SMFH",@117588 We would like to preform a device refresh from our end. -L.O
8845,8847,@sprintcare Are you getting dizzy yet? Because you seem to be running in circles.,"@117588 We are going and preform the device refresh on all four devices, could you power off the devices and power them back on in 5 minutes. -L.O"
8854,8853,"I like how i pay for ""unlimited"" for the ""fastest"" 4g service but after a certain amout of gigs used apparently it slows down cool. @115714",@117589 Go to https://t.co/giLERIJ9sA for details about our network management practices. -KA
8856,8855,@sprintcare Well how come there are people on here who’s have shipped already?,"@117590 Not all order are shipped at the same time, however, they will be fulfilled. We will appreciate your patience. -JR"
8858,8857,"@sprintcare My iPhone X said deliver date of the 3rd when I ordered it, however it still says “pending” when checking order status.",@117590 Once the device is launched that information will be updated. You can check when the shipping starts through https://t.co/O1mkYIdKu5 -JR
8860,8859,@117591 @115714 Yes mine!,@117590 Thanks for reaching out. What questions do you have? -ES
8866,8864,@sprintcare @115714 never mind i can’t even send txts. https://t.co/iWFDZrLDzF,@117592 We will like to take a look into this for you. Shoot us a DM to assist. -JA
8869,8868,@sprintcare I Broke My Phone And Yah Insurance Clam Thing Giving Me The Run Around,"@117593 Hey Stephany, you would have reached out to us in regards to some service issues. 1/3 - Resolution SUP NN"
8876,8875,@117594 @115714 Im Finna Call You,@117593 How may we be of assistance to you? We are always happy to help.-DD
9021,9020,@115714 Took me 5 mins &amp; a hotspot to tweet this,"@117605 Hi! Are you experiencing any sort of issue with your other services (ex.: phone calls and text)? Please, let us know more about this, sending us a DM. We'll be more than glad to assist you. -LR. https://t.co/rMApsV8PQY"
9024,9023,"@115714 you know, “all the networks are great now.” What the fuck year is it, 2001? Fuck you and your shitty 3G one-bar. https://t.co/IkRazgHgS1","@117606 Hi! For how long have you been experiencing this? Are you receiving 3G somewhere near your domicile? Please, allow us to check your surrounding. Send us a DM, we'll be glad to assist you? -LR. https://t.co/rMApsV8PQY"
9026,9025,Bruh @115714 be blowing it with this bum ass service,"@117607 Hi! For how long have you been experiencing this? Are you receiving 3G somewhere near your domicile? Please, allow us to check your surrounding. Send us a DM, we'll be glad to assist you? -LR. https://t.co/rMApsV8PQY"
9540,9539,@sprintcare Did that*,@117730 Please give us the opportunity to investigate your issue and we will contact you with a resolution.
9543,9542,"@115714 @117731 Brooklawn nj store has a thief, spoke to manager, took my info then never called back of course",@117730 Your post brings great concerns to us. Can you please send us a DM with the details so we can get down to the bottom of this? -ES
9547,9546,@115714’s service is 🚮 my bill is wayyy too much to never have service 😑,"@117732 Hi! We would like to look into this. Please send us a Direct Message, so that we can further assist you. -KA"
9552,9548,"@sprintcare Still nothing 2 hours later, our definitions of ""momentarily"" are not aligned. Ashley @ 312.890.7112 - please contact. FYI@Koster4Missouri",@117733 We apologize for the delay. Your assigned analyst will be contacting you shortly.
9554,9553,@sprintcare @67723,@117733 We regret to hear of your recent experience and we want to help. We will reach out to you momentarily to address your account concerns.
9557,9555,"@67723 Could you confirm @115714 falls within your office's jurisdiction? I have been defrauded, @sprintcare refuses to mediate.",@117733 Hello Michael! We will send you a DM shortly.
10341,10339,"@117877 @115714 Exactly, it’s a Customer Service business so how could they be good to you if that is bad, I’d say it’s horrendous",@117730 Is there anything else we can assist you with today?
10340,10342,@sprintcare Did you find my phone that I returned to brooklawn nj store that was stolen by an employee and credit account?,@117730 This issue is being investigated for you and we will contact you on Thursday with a resolution.
10343,10344,"@sprintcare Ok thank you, will talk then",@117730 My pleasure. Is there anything else I can assist you with today?
10352,10350,@115714 I preordered on Friday and didn’t get this deal 😡,"@117879 We would like to look into this for you. Please send us a Direct Message, so that we can further assist you. -JJ"
10351,10353,"@sprintcare @117879 I didn’t get this deal either...I got $41 a month, if they’re offering it for $22 a month now that’s crazy I want in on it!",@117880 Hi! The deal's available when you get it with Sprint Flex &amp; trade-in an eligible device. Info available here: https://t.co/7esColq99k . - FZ
10394,10393,Yah know... I'm really really really tired of @115714,@117881 Tell us why? We really want to know. -JN
9424,9426,@115911 @ATT @115714 @115725 . I currently have Verizon and due for an upgrade. They won't give me a deal. Give me a good deal and I switch tomorrow.,@117688 Hello there! Please check our current promotions by clicking on the link https://t.co/OLXF2ShjmN
10397,10396,Hold on... how?... nvm https://t.co/xgcksSyWqV,"@117882 That's not the feedback we like to read. What seems to be the issue? Let us know, we're here to help. -AP"
10399,10398,@115714 sucks so bad. Always switching to roaming so they can charge me whatever the hell they want. Get a real network!,"@117883 We'd be more than willing to take a look at the area for you if you can DM us a good intersection, J. :) -CDE"
10402,10400,Sad when you have been a customer for over 18 years...&amp; they say “there is really nothing we can do”...must be time to switch! @115714,"@117884 Good evening, Heather - What seems to be the issue? Will you PM us with the specifics, please? -CDE"
10404,10403,"Mad at Sprint, daughter had her phone stolen and we are getting the rum around trying to get her a new one. #Sprint #frustrated","@117885 This is concerning to us. Please, send us a DM with more details of your issue for us to assist you further. -DP"
10870,10869,@sprintcare is there any news on when the WiFi calling Plus will be available for the Note8?,"@118025 Currently, the Note 8 does have Wi-Fi Calling. Send us a DM so we can provide you with the steps to activate it. -KW"
10872,10871,@118027 @118028 @115714 smart move @115714 sucks read all the negativity on their facebook page,@118026 We r sorry u feel this way. We strive for the satisfaction of all. How may we b of assistance?-DD
10876,10875,@115714 what’s going on with my service ?,"@118029 Hi there, thanks for reaching out to us. Please send us a Direct Message, so that we can further assist you. Sprint cares. -RM"
10879,10877,"@118031 @115714 I just received my tracking numbers today, I hope you did too!",@118030 Hey there! We are happy to hear this. -JC
11318,11317,@sprintcare I knew you would ge back to me via social media. You all have a refund you owe me &amp; ive been trying to solve my account issue w/ you all,@118155 We understand. Please send us a DM so we can further assist. -RW
11320,11319,Been calling sprint all week! Been on hold for a whole hour with @115714 today and still haven't resolved my issue! I'm calling @118156 💯,"@118155 Hey Malika, this is not the kind of feedback we like to hear! Please send us a DM elaborating on the issue. We're here to help! -RW"
11322,11321,"@115714 I’m being charged for the phone I returned, in YOUR envelope, via YOUR return service, plus late fees","@118157 Let's look into this. Please send us a Direct Message, so that we can further assist you. -RL https://t.co/rMApsV8PQY"
11325,11324,@118159 por qué su señal es tan mediocre?,"@118158 Hey Azael, su Tweet realmente nos preocupa. Por favor envíenos un DM para poder asistirle. - EH"
11327,11326,@sprintcare WTF THEY JUST HUNG UP ON ME AGAIN!!!!,"@118160 We want to help you, in order for us to do so, you'll need to send us a Direct Message so we can better assist. -AG"
12265,12264,im just shitty rn I hate @115714 with a passion 😡,@118438 We don't want you to have problems. Shoot us a DM telling us issue? - SP
12269,12266,You are the worst cellphone company in PUERTO RICO @115714 https://t.co/8VyagspYV0,@118439 Hi there! What makes you feel this way? -RL
12267,12270,"@sprintcare You're the worst, period.",@118439 That's not the way we want you to feel. We keep working hard to restore the service completely in the island. -JT
12271,12272,"@sprintcare Im sorry, but it has been 40 days, and the service in Puerto Rico is worst thsn ever. I can't even communicate with my family well.","@118439 We do anything possible to resolve it. Sprint customers can activate the Roaming feature, Sprint will cover the charges. -JT"
12274,12273,@115714 y’all really need to get this signal shit together G,"@118440 Hi there! We'd like to look into this issue for you. Please send us a Direct Message, so that we can further assist you. -AA"
12793,12792,A @115911 rep screwed up my order this morning and they refuse to fix it for me- guess I'm headed to the @115714 store,@118553 Now is the right time to switch to sprint learn more at https://t.co/DXeSKlIlYx. KB
12798,12795,@sprintcare I had my iPhone replaced by Apple because it was defective. Now I can’t receive SMS messages from Verizon numbers. No one has been able to help me out. Hoping you can! I have reset my network settings. I can send SMS and receive MMS from Verizon numbers.,"@118588 Hey Laura! Don't worry, we're here for you. How long have you had this issue? -CO"
12797,12799,@sprintcare This forum post suggests that I may need my text messaging service reprovisioned https://t.co/PoNQ4XFcnu,@118588 Okay no worries! Can you send us a DM so that we can further address this issue? -CO
12801,12800,@115714 I will drive that jeep on a road trip to where ever it leads me,@118589 @849 please refer to https://t.co/5BciNqgODO to enter. -FA
13426,13425,@115714 Yellow stone park,"@118787 Hi there! Are you having issues? Please let us know, in order for us to further assist you. -AA"
13429,13428,"If you have @115714, be sure to check your phone bill since they’re charging people for 411 phone calls. Who really calls 411 these days!?! https://t.co/GjeWjUuvyq",@118788 Thank you for reaching out to us. We would like to take a look into this. Please send us a Direct Message. - KC
13431,13430,could of been at game 6 of the WS but of course @115714 has not fixed my issue and i never received the text or call smh. Thanks alot,"@118789 Hey Keith, this seems very concerning. What issues are you experiencing? Please DM us so we can further assist you! -SB"
13435,13432,@sprintcare &amp; @115714 ARE COMPLETE LIERS! They force you to keep the service and won’t disconnect! #BlackTwitter #America #smartphones,@118160 @115714 Thank you for taking my call. I do hope that the transfer to the other department was successful. -AG
13437,13436,"@115714 New customers get $25 per line unlimited, right? What does a loyal cust. for 20+ get? Especially when the service has been crap?","@118790 Hi there, we hope to have all our customers feeling appreciated. It is disappointing to received contrary feedback. -AJS"
13708,13707,How horrible is @115714 service? So horrible that it’s hard to keep a good signal anywhere AND this message has been sending since 9:44 https://t.co/VNPe1CL39C,@118878 We're here to help. Please send us a DM so we can further assist. -AT
13979,13981,"@Uber_Support Hey - your greenlight rep at Metairie @115714 store had me waiting almost an hour only to not be available. No decal, no information.","@118944 Hey Bill! Thank you for reaching out. I’ll be happy to help, please send us a Direct Message in order for us to further assist. -AD"
14516,14514,"@115714 ""You keep using that word, 'special characters.'""",@119111 We do apologize that you are having issues with your password. We would be happy to help if needed!
14515,14517,@sprintcare The only thing that would help would be to re-do this horrible user interface. Happy to talk to your UI folks if that would help.,@119111 Thank you for your feedback and we will pass that to our team. Should you need further help please let us know!
14523,14522,Only I would be put on hold for 1 hrs by @115714 ! And still nobody answers me 😤😫,@119113 Yikes! Can you please let us know what seems to be the issue in which led to your feedback? -TC
14525,14524,@115714 4G in Davenport Iowa! Yikes! Good thing I have an @ATT phone too! https://t.co/KZ9g5i3CPC,"@119114 We would like to look into your coverage for you. Please send us a Direct Message, so that we can further assist you. -JJ"
14533,14526,It’s been 8 months of @115714 making my life difficult ❤️❤️❤️ #teamTmobile,@119115 Hi there! Tell us how we can change this impression. -JA
14528,14534,@sprintcare At T-Mobile when I had this kind of issue they ordered me a new phone and I just had to send my current phone in,@119115 You will need to take the phone in to a Sprint store for diagnostics as long as you have insurance they can order you a new phone. -FR
14530,14535,@sprintcare @115714 I don’t have insurance on it. I was told I didn’t need it by the Sales guys in a Utah store.,@119115 @115714 I am sorry that is never acceptable behavior. -FR
15474,15473,@119415 @119111 @115714 This is the worst thing I have seen in my entire life.,@119414 Greetings. Is there anything that we may assist you with? -JT
15476,15475,@115714 get your act together on your coverage. It’s pretty ridiculous that I have to be on WiFi to do anything on my phone 🙄,"@119416 We'd like the opportunity to assist with this. Please send us a Direct Message, so that we can further assist you. -DE"
15995,15993,@sprintcare Then that’s giving false info because my email said 10/30 never got an update and then ups is saying 11/3 and now your saying 11/21 🤦🏾‍♂️,@119504 We apologize for the misunderstanding. You check the status of your order at https://t.co/RDgqxv7W9w . - KC
15999,15997,@119506 @115714 Same boat as you it says order processed: ready for UPS,@119504 The iPhone X will start to be delivered by 11/14. You can get more information by clicking this link: https://t.co/xJXdj2F9rR . - KC
16002,16001,@119508 @115714 Michael been complainin bout how his service didnt work since the hurricane and he reseted his phone now it doesn’t work so fix it 😤,"@119507 Please send us a Direct Message, so that we can further assist you. -AL"
16009,16008,@sprintcare I HAVE A BIG ISSUE WITH YA'LL HELLO,@119509 Hey there! What seems to be the issue today? -MM
16011,16010,"@119511 I'm being over billed, I'm about to cancel my contract and go to @115714.",@119510 We will be glad to have you join our Sprint family. Please reach us via DM for more details. - VC
16014,16013,@115714 upgrade your voicemail to let me stop blocked numbers from leaving voicemails,"@119512 Please send us a Direct Message, so that we can further assist you. -JE"
16016,16015,"It’s this outsourcing mess, I don’t wanna speak to someone in India about an issue in New York https://t.co/UZiTWIpVRk","@117877 Hello! Thank you for contacting us, this is really concerning to us, please send us a DM to further assist you. -JG."
16283,16282,@115714 I would drive accross country#justforyousweepstakes,@119576 Hey! Is there anything we can assist you with? -AL
10356,16287,@115714 Signal is never good in buildings and neither is customer service. It’s a trap!!,"@119578 Hello! This is concerning. Please, send us as DM and we will review your coverage. -CL https://t.co/rMApsV8PQY"
10355,16288,@115714 What does the fine print under the promo say?,"@119579 Thanks for reaching out, I'd be happy to address your queries. Shoot us a DM so we can further assist. - SP"
16290,16289,@115714 Not a good customer service.,"@119580 Please send us a Direct Message, so that we can further assist you. -JE"
17565,17563,@sprintcare My phone is thru att. But I would like to switch with you guys once it gets here. Will my phone works for sprint ?,@119893 Sure thing. When the time comes you can visit this link https://t.co/9ABiXqmY33. -KT
17567,17566,@115714 Just preordered mine thru att but this sounds very good to go with @115714 can I switch once my phone gets here?,"@119893 Just to calcify, are you speaking about the IPhone X? Is there a particular promotion that you are interested in? DM us to get started. -KT"
17602,17601,@sprintcare How do I contact a live customer service rep? Calling funnels me into an endless phone menu,"@119894 We are here to help! Please send us a Direct Message, so that we can further assist you. - LV. https://t.co/rMApsV8PQY"
17604,17603,@115714 wtf are you the shittiest service available omg,"@119895 This is very concerning to hear. Please send us a Direct Message, so that we can further assist you. -JE"
17606,17605,@119897 @115714 y’all got shitty service,@119896 Hey there! That statement is really a concern to us. Can you explain to us what is happening? -MM
17804,17802,@sprintcare why are my words showing symbols instead of the words ??? Tf,@119941 Hi there! We saw your tweet and would like to assist you. Please send us a DM and follow us to further assist you. -GM.
17806,17805,@sprintcare Thank you!,@119942 No problem. We're for you. -KT
17809,17807,I am so over @119943 @119944. My service started to get worse nd now it says No Service.Well i guess ill be visiting @115714,"@119942 Hey there! We will be more than happy to have you join the Sprint family. Visit the link provided to see how, https://t.co/4MjVV3ABaa . -JC"
19829,19828,@sprintcare And I got the shipped email 2 days ago,@120353 Please send us a Direct Message so that we can further assist. -MM
19832,19830,"same here dude no shipment activity but says label created, also ups says that they didn't have the package just that @115714 created one https://t.co/cZkEOJ2wUL","@120353 Hey there! To check updates regarding your order of your iPhone X, you can visit https://t.co/E2O5xci9LH. -MM"
20857,20854,@sprintcare I’m not even a customer yet and I’ve gotten the run around. 7250 S Cicero Ave store is a joke. Fire everyone,@120573 We do apologize for the experience in which you had at our store. What seems to be the issue? -MM
20855,20858,"@sprintcare Also, that store is playing load music that makes it hard to hear. It’s a store not a dance club.","@120573 To activate your device, you can either visit the link provided, https://t.co/cLSUsitfDr or call 866-782-8777 for further assistance. -MM"
21180,21179,@sprintcare why is all my text from earlier today just coming in? Used to work for Sprint &amp; could never understand it?,@120645 Hi there! We saw your tweet and would like to assist you. Please send us a DM and follow to further assist. -GM.
17569,21647,@115714 the new iphone is here thru sprint,"@120718 We are here to help! Please send us a Direct Message, so that we can further assist you. - LV. https://t.co/rMApsV8PQY"
25118,25116,I need somebody from @sprintcare to answer a question I have ASAP,@121422 Hey there! Questions? You’ve come to the right place. Please let us know how we can be of assistance today. - RC
25594,25593,Wow @115714 service sucks out here in Stony Brook.,"@121550 Hi there Danny, this issue concerns us greatly. Please send us a Direct Message, so that we can further assist you. -KK"
25596,25595,@sprintcare No it still has not been resolved they keep telling me that they will give me a call when my iPhone X will arrive,"@121551 We would love to look into this situation. Please send us a Direct Message, so that we can further assist you. -DD"
25598,25597,@115714 your location in Laveen AZ has the worst customer service I have ever had they have no clue what they job is!!!,@121551 This is not the kind of feedback we like to get. Please tell us was your issue resolved? -JR
25600,25599,Why do I have 4G signal on Metro (that works) until I get to Potomac Ave? Hmmmm... @115714 @19175 @36658,@121552 Hey! I'd like to help you out with this issue you're having. Can you shoot us a DM for us to have a chat? -ResolutionSup DC
25603,25601,@sprintcare Just had the worst support experience ever at a Sprint store. Zero interest in helping me and was completely rude.,@121553 we hate to hear this and apologize for the inconvenience. But is there something I can help you with today.
25602,25604,"@sprintcare I damaged a phone and need a replacement, the staff member was zero help and was completely rude in helping. I am very upset about this, I have been a sprint customer for 16 years. Is there a way to make an official complaint?",@121553 will address it. Also I'm going to direct message you some information about getting your phone replaced.
25602,25605,"@sprintcare I damaged a phone and need a replacement, the staff member was zero help and was completely rude in helping. I am very upset about this, I have been a sprint customer for 16 years. Is there a way to make an official complaint?","@121553 I understand the frustration, if you can send me the store information I will submit this to my manager and they"
25611,25606,Impossible 2 get @115714 customer service via phone. There is no option to press zero or talk to an agent. Is this how you keep customers?,@121554 we apologize for the inconvenience you are having today. But how can I help you today?
25607,25612,@sprintcare Had to go to chat to get directions on how to get an operater because you don't give that option. 5555. Then another hour plus+,@121554 services team to see what can be done on this issue.
25608,25613,@sprintcare @115714 Change your processes to be more customer focused. I'll be researching other providers. I'll payout 2 be done w sprint.,@121554 We hate to hear you wanting to leave. If you can send a callback number I can call you and get you to our account
25609,25614,@sprintcare Denied me access to mgr or supervisor. Still 72 hours to get cancelled? You are unethically making it impossible to cancel services.,"@121554 We understand that this can be frustrating. Please send us a Direct Message, so that we can further assist you. -CP"
25617,25615,@116447 @115714 wanted to find out what it takes to turn my personal account into a business account like what type of info I need !!,@121555 We will reach out to you today to address your concerns.
26041,26039,"@115714 i am tryin to get my account paid up, but my debit card expired and you won't let my call to activate it go thru #youcantgetpaidnow","@121683 I'd be happy to assist you with this, shoot us a DM. -AL"
26449,26447,@ spoofing 😭😂 https://t.co/Ijjle3hFug,"@121770 Thanks for reaching out to us. Please send us a Direct Message, so that we can further assist you. -MJ"
10372,26450,"@115714 I am at the end of my rope with you guys, leaving for Verizon. The service is unbearable","@121771 Good afternoon. We truly hate to see you leave. If there is anything we can do, please allow us to try."
26454,26453,@sprintcare No I’m not changing my mind. I’m off ya’ll,@121772 Is there anything we can do to help at all? Ange L
26456,26455,I can’t wait until my contract with @115714 is up.,@121772 Oh no. Hey Cheyenne. We would like to change your mind today. Would you please send us a DM? Thank you. Ange L
26459,26457,Y’all are the worst @115714,@121773 Sounds like something we should look into. What's going on? -JT
26458,26460,"@sprintcare @121773 One thing yall can do it outpay Verizon for the rights to play free NFL games. I’d be thankful Love, A sprint customer w/ terrible service",@121774 Sounds like something we should look into. What's going on? Please send us a DM and follow us so we can help. -JT
26532,26531,@115714 if it seems like I'm pissed I am. I've been a Customer for over 7 years &amp; just about had it with your company get your shit together,@121791 The 7 years of your loyalty to us is appreciated. Can you please send me a Direct message for further assistance? -DS
26534,26533,Why is This popping up on my phone now @115714 when I have @115725 is my carrier???? 👇 https://t.co/6sg7MpwRS3,@121792 We do apologize for the inconvenience caused. Did you try blocking the notification that is being sent to you? - AM
26536,26535,@70219 @115714 I’ve done a lot of reading about that,"@121793 We would like to assist you with your issue. Please send us a Direct Message, so that we can further assist you. -ES"
26539,26538,"Hey @sprintcare bouncing between 1 bar &amp; no service for 2 days. 94th Terrace &amp; Nall Overland Park, KS 66207. And no, it’s not my phone.",@121794 We apologize for the issues you have experienced. DM your phone number so that we may research your concerns and reach out.
26542,26540,@115714 I just ordered a new iPhone still waiting for it to come. How would I go about switching over? DM ME PLEASE :),@121795 The store will give you a free sim card for the sprint network -FR
26544,26545,"@115990 Felt differently about paying for service that im not getting??? It’s fine, I’ll just switch to @115714 since having service is so hard",@121795 Give us a call at 866-789-8292 to establish an account or go to a sprint store -FR
26565,26564,@sprintcare Been trying to get help with things from support and they rather take 5 minutes to answer or been on holdnwaiting to connext for a long time,"@121800 To continue our conversation can you please send a private message, so that I can gain further details about your account?"
26569,26567,"@sprintcare you’re online chat is a mess, need help but yet they can’t help or been on hold waiting for them to reply and need help but no",@121800 Hello there! Thank you for reaching out to us today. How can I assist you today?
26565,26566,@sprintcare Been trying to get help with things from support and they rather take 5 minutes to answer or been on holdnwaiting to connext for a long time,@121800 Oh no! It would be my pleasure to assist.
26571,26570,@115714 this added security on top of my security I put on my account makes no sense. Saying it’s (cont) https://t.co/h95yOa9w9J,@121801 Hey there. We dont want you to have any problems. Were you able to get the assistance you need with out Telesales Department - CF
28008,28007,@sprintcare Ordering the free phone from sprint,"@122141 We would be happy to provide you with this information. Please send us a Direct Message, so that we can further assist you. -KA"
17570,28010,@115714 Whats cost,@122141 Hi! What would you like to know the cost of? -KA
28011,28012,@sprintcare The cell that can be order from homepage.i hate order one be big charge for it.,"@122141 We completely understand in order to assist you, please send us a DM. -KA"
28013,28014,@sprintcare Yes,@122141 What device are you interested in? Can you please elaborate on what you're inquiring about so we can better assist. -AF
28016,28017,@sprintcare Get tired of all that junk on it.,"@122141 We would be more than happy to assist you with this. Please send us a Direct Message, so that we can further assist you. -PP"
